date,gender,height,weight,rating,review_text
25.06.04.,남성,178cm,72kg,5,작지만 잘나간다?살짝만 거들면 잘나갑니다. 만족합니다
25.06.03.,여성,174cm,65kg,5,"작업실에서 타고 다니는데 정말 가볍고 좋아요ㅎㅎ
조립도 쉽고 속도도 딱 좋은것 같아요
만족하는 구매가 되었습니다~^"
25.06.03.,남성,176cm,74kg,5,"조립도 쉽고
전기모터도 잘나갑니다
편하게 타고 다니기 좋아요
감사합니다."
25.06.03.,여성,155cm,53kg,5,"전기자전거 처음 타보는데 너무 편하네요
경사로도 힘들이지 않고 올라갈수있어요
출퇴근에 잘 사용할것같아요"
25.06.02.,,,,5,"출퇴근 걸어서 30분거리 몇 년 동안 잘 다녔지만 카카오바이크를 한 번 타보고 전기자전거가 아주 유용함을 경험하였고, 구매로 이어졌습니다. 합리적인 가격으로 구매해 만족도가 높았어요. 접이식 자전거라 선택지가 있는 것도 좋았습니다. 배터리 탈부착이 조금 타이트해 저는 큰 카라비너를 추가로 적용했습니다. 사실 배터리 충전 및 탈부착이 귀찮아 배터리를 요즘 빼고 타는데, 일반 자전거와 똑같이 씽씽 잘 나갑니다. 전기자전거라고 '배터리 없을 땐 안굴러갈거다'라고 생각해 구매를 망설이고 계신다면, 이 자전거를 추천드려요"
25.06.02.,여성,,,5,일단 오르막길도 나름 페달 잘 밟으면 잘 올라가요. 그리고 배터리도 3일 충전안해도 괜찮아요. 근데 처음에 체인이 이상해서 대리점 갔었는데 세팅문제라고 했고 어쨋든 AS받아서 괜찮은데 최근 달리다가 체인이 또 빠졌네요 가성비는 좋은데 체인만 좀 더 튼튼했으면 좋겠네요
25.05.31.,여성,165cm,64kg,3,"24V는 비추 함 사용해본결과 완충하고 거리 5km 도 안타고 하루 세워놨더니 방전!!!
36 V를사세요 자전거는 괜찮음 단 배터리는 차라리24V를 판매하지말고 용량 큰걸로 판매하시길 

스로틀 모드도 아니고 PAS 모드로 가는데도 배터리가 닳는게 눈에 보임"
25.05.30.,,,,3,예쁘고 조립이 심플해요
25.05.29.,남성,168cm,65kg,4,편하게 자전거를 타고 다니기 좋고 편안함을 느겼습니다
25.05.29.,,,,5,오르막을 쉽게 올라가서 좋습니다
25.05.27.,남성,,88kg,5,일단 배송과 제품은 맘에들어요 후기도 관찮고 기대되네요
25.05.26.,남성,170cm,,1,36V이상 제품 구매하세요. 힘이 많이 딸려요
25.05.23.,,,,3,"아버지 선물로 사다드렸는데 매우 만족하시며
타고계세요^^"
25.05.23.,,,,5,"가격이 저렴하여 가성비좋음, 차량과 조합하여 레저용으로 활용."
25.05.22.,,202cm,20kg,1,"선택안함
배터리 중고 장착해서 보내주고는 아무런 조치 안해줘서 배터리 풀충해도 금방 방전되네요. 자전거 줄도 툭하면 벗겨지고 끼어서 너무 불편합니다."
25.05.22.,남성,165cm,48kg,5,만족합니다 많이 파세요
25.05.22.,,,,4,배송 빠르고 좋아요.
25.05.18.,남성,180cm,105kg,5,쓰기편하고 좋아요 만족합니다
25.05.17.,남성,158cm,52kg,5,"It's my First time buying E-bike for my kids. I'm satisfied with it's fast delivery and I really like the product itself, clean design, easy to assemble and the size is right for my kids. Thank you very much."
25.05.14.,남성,174cm,73kg,1,"정말 쓰레기 자전거구나 싶습니다. 한 달 사용했는데 정말 최악입니다. 
1. 배터리 사용 탈착 사용법이 제품 기획부터 잘못된 것 아닌가 싶습니다. 
정말 배터리 탈착 개선을 하던지 이 제품을 만들지 만들지 해야합니다. 
2. 24V는 그냥 만들지를 마세요. 출력이 약하다 못해 일반 자전거라고 봐야합니다. 평지 외에 전기가 도움 받고 있다는 느낌을 거의 못받습니다. 평지처럼 보이지만, 약간 경사가 있는 곳도 페달에 힘을 주고 밟아야합니다. 다른 업체(이지베이션)의 24V 타봤는데 차이가 많이 납니다. AU테크를 에이 유 걸러 테크라고 부르는 이유를 알겠습니다. 기술력이 좀 떨어져 보입니다. 
3. 스로틀 빼는거 너무 힘듭니다. 동영상 보고 쉽게 할 수 있을 것이라 생각했는데, AS 센터에 전화하니 그거 찍을 때 쉽게 할 수 있게 거의 빼놓고 촬영한거라고 하더라고요. 그게 할 소리인가? CS 교육은 전혀 안하는 업체인것 같습니다. 

4. 아무리 접이식이라지만, 덜덜덜이 너무 심합니다. 이건 접이식을 뛰어넘어서 그냥 기술력이라고 보여집니다. 

뭐 싸게 판다고 혹해서 구매했는데, 딱 그가격입니다. 10만원이면 살만한 가격의 물건입니다. 
그 이상도 그 이하도 아닙니다. 
그냥 거르시던가 100만원 이상짜리 사세요. 
완전 쓰레기입니다. 이벤트 한다고 주는 쿠폰 비용 고대로 쓰레기 스티커 구입 비용으로 나갑니다."
25.05.13.,,,,4,성인남성이 타기에는 좀 작습니다. 안장은 리뉴얼 됐다고 하는대 전 아프기만 하고 많이 불편했습니다.
25.05.12.,,,,5,자전거 출퇴근 편도 8킬로 정도에 딱 타기 좋네요
25.05.11.,,,,5,아쉬운점도 있지만 이 가격에 이 정도 성능이면 충분합니다!!
25.05.10.,여성,160cm,60kg,5,완전좋아요 가성비 굿이에요ㅋ
25.05.08.,남성,175cm,72kg,5,"오르막 경사도 잘 올라가고 웬만한 거리는 요걸로 다 커버됩니다.
다만 안장은 벌써 한번 갈았네요."
25.05.06.,,,,5,생각보다 너무 커서 놀랐어요
25.05.05.,,,,4,"단거리 출퇴근용으로 괜찮아요
단지 배터리 탈착이 좀 힘들어요ㅜ"
25.05.04.,여성,174cm,65kg,5,"디자인이 실제 보니 진짜 더 예쁨니다ㅎㅎ
무게도 무겁지 않고 속도가 생각보다 빨라서 너무 마음에 들었습니다~
다음에는 부품드로 하나씩 사봐야겠네요^"
25.05.03.,여성,,,4,집에서 세팅하다가 체인이 완전히 분리됐어요. 조금 해보고 안되면 대리점가셔서 하시는걸 추천드려요
25.05.03.,,,,5,짧은거리 이용하려고 삿는데 잘 이용하고 있습니다 진짜 짧은거리용이라 배터리가 많이 아쉽긴합니다
25.04.26.,,,,5,저렴한 가격치고는 마감도 좋고 제품도 나쁘지 않습니다. 아주 좋아요
25.04.26.,여성,,,5,"잘타고다니고있습니다.
번창하세요!!"
25.04.25.,,,,5,스펙 만큼 가지는 않지만 출퇴근 하기 좋네요
25.04.24.,,,,5,"설명서가 조금힘들었는데 조립하고 타보니 조아요~
출퇴근용  딱이예요~^^"
25.04.22.,남성,168cm,71kg,4,상당히 좋습니다 아주 강추합니다 👍
25.04.21.,,,,3,"그냥 가격에 맞는 전기자전거입니다. 생각보다 배터리 금방 달고 언덕 올라가면 배터리가 지맘대로 줄어들었다가 늘어납니다. 출퇴근할때 타는데 매일매일 충전하고 있어요,,"
25.04.20.,남성,165cm,48kg,5,만족합니다 많이 파세요
25.04.17.,,,,4,배송 빠르고 좋아요.
25.04.17.,,,,5,"접이식이라편하고 운전하기 편해요
번창하세요."
25.04.16.,남성,170cm,,5,"자전거 자체는 매우 맘에 듭니다.
배터리 고정하는 카라비너가 작아 별도 구매해서 사용합니다"
25.04.13.,,,,5,오르막 편하게 잘 올라가서 좋아요!!
25.04.10.,,,,5,가성비 좋아 부담없이 타고 다니긴 좋은데 배터리 탈착이 너무 불편하네요 개선이 필요해 보입니다.
25.04.10.,여성,160cm,60kg,5,근데요 제가산게 이렇게왔는데...이게맞는건가요..?
25.04.10.,,202cm,20kg,1,"선택안함
중고배터리 달아 출고한것 같네요"
25.04.08.,,,,5,"배터리 성능도 처음처럼 좋고, 여전히 편해요 ㅎㅎ"
25.04.07.,,,,4,가성비 좋고 생각보다 작지 않아서 좋아요!
25.04.06.,남성,170cm,72kg,5,가격 대비 괜찮아요..마실용으로 좋은거 같아요
25.04.03.,,,,4,"선택안함
여자 혼자 좀 힘들긴했지만 조립 가능합니다
외관은 넘 이뻐요
다만 바퀴가 좀 약해보여요 
시승했을때도 안전감이 좀 떨어지는거같아요
그래도 잘나가고 가성비 좋은거같아요
잘 탈게요 오래 고장 없이 탈수 있었으면 좋겠네요"
25.03.30.,남성,167cm,58kg,5,잘나가고 괜찮네요 근데 스로틀이 한번씩말을안듣네요
25.03.29.,,,,5,가성비 좋고 평지에서 무난하게 탈만합니다
25.03.28.,,,,3,"안장이  너무 불편한거 빼면 괜찮은것같아요
다음에 기회가된다면 비싼걸 사야겠오요"
25.03.27.,남성,165cm,65kg,5,강추합니다 정말 좋아요
25.03.26.,남성,170cm,97kg,4,"배송빠릅니다
자전거 자체 조립은 쉬운데
사은품이랑 경고등 조립에서 헤멨네요
바람이 조금빠진 상태로 온점이 아쉽네요
장난감 삼아 첫 전기자전거 입문으로 24V 사봤는데
제가 무게가 나가서인지 언덕에서 힘이 딸리긴합니다
그치만 평지는 잘나가네요
재밌게 타고 업글해볼께요"
25.03.26.,남성,,,5,"자전거 잘달리네요~  배터리 탈부착이 좀 짜증나지만 다른방식으로 머리좀써야겠습니다.
자전거길에서 신나게타는중 입니다"
25.03.22.,,,,5,배터리 탈착 빼고는 전부 만족합니다.. 탈착 좀 개선 시켜줬으면 좋겠습니다
25.03.22.,,,,5,이쁘네요 아직 타보진 않았지만 괜찮을꺼 같아요
25.03.22.,남성,174cm,,5,아주 좋습니다 충전시간 빼구요
25.03.21.,,,,5,"가성비 좋은데, 배터리 착탈이 상당히 불편합니다.
뭔가 개인적으로 추가대책을 하지않으면 안되게끔 되어있네요.. 다 좋은데 요런게 한가지 있네요.
저는 사진처럼 열쇠고리 두개를 안장 밑에 딸아서 해결했습니다."
25.03.20.,남성,170cm,68kg,5,10km 정도 거리로 출퇴근 하실분에게 추천합니다. 페달을 세게 밟으면 조금내려앉는 문제가 있지만 나름 적응하면 그런증상을 줄일수있어서 만족하고 있습니다. 충전표시등 4칸중 한칸일때는 모터작동이 거의안되는 느낌이라서 두칸정도 되면 충전하는게 좋습니다.
25.03.19.,,,,3,"조립하는데 문제없었고, 시운전하고도 문제없었어요 좋네요 가성비 자전거로^^"
25.03.19.,,,,5,"배송도 너무빠르고 제품 맘에듭니다~
가격대비 성능도 너무좋네요~"
25.03.13.,,,,5,실용적인 데다 싸서 좋다.
25.03.09.,,,,4,"짧은 거리 출퇴근용으로 탈려고 산건데 
타고 다니기에 불편함은 없는거 같아요.
조립도 아빠가 해주셨는데 그리 힘들진 않았어요. 맘에 듭니다."
25.03.08.,,,,5,싸게 잘 샀어요!! 친구 사준건데 승차감도 좋고 잘 굴러 갑니당 저도 하나 더 살까 고민이 되네요~ 고장 안나고 오래 탔으면 좋겠습니다~ (사은품은 아직 도착하지 않았지만 흑흑..)
25.03.06.,,,,5,"쭉쭉 잘나가고, 승차감도 편해서 출퇴근길이 쾌적해졌어요."
25.03.06.,,,,5,저희 어머니께서 타고 계시는데 승차감도 좋고 여러모로 만족스럽다고 합니다
25.02.27.,,,,4,접이식이라 편하고 가격대비 만족도가 높아요
25.02.27.,,,,5,엉덩이 아픈거말고는 출퇴근할때 타서 딱좋아요
25.02.26.,남성,178cm,68kg,3,"평지에서 주행시 정말 괜찮습니다.
다만 경사로주행시 출력 부족으로 인해 부하가 있으니, 높은 출력의 max모델을 추천드립니다."
25.02.26.,남성,,,5,아직 타보진 않았지만 좋아보입니다
25.02.25.,,,,5,쓰로틀이랑 파스 둘다 잘 작동하고 만족합니다!
25.02.25.,,,,5,"맘에듭니다
잘 탈게요"
25.02.24.,여성,161cm,64kg,4,"제 엉덩이가 큰건지 안장에 앉아서 조금만 타도 진짜 아팠는데 안장 새로사기 긔찮아서 그냥 굳은살 생기게끔 많이타서 적응은햇어요 ㅋㅋ ㅠ
근데 한가지 거의드리고 싶은건..
배터리 장착하는 그 연결고리부분 진짜 심각하게 불편해서ㅜ너무 힘들어요. 왜 그렇게 빡빡하게 만드신건진 모르겠는데 좀 더 부드럽게 잘 빠고 끼울 수 있게 됐음좋갰어요. 솔직히 안장 불편한 것 보다 배터리 끼우고 빼는게 더 힘들어서 너무 불편해요. 배터리용량도 작아서 자주 충전해야하는ㄷ끼우고 뺄때마다 진빠져서 …ㅠ"
25.02.22.,,,,5,잘타고있습니다 만족함
25.02.21.,,,,4,가격대비 그렇습니드
25.02.20.,남성,170cm,72kg,5,가격 대비 괜찮고 크기로 딱 좋은거 같아요..
25.02.16.,남성,163cm,65kg,5,아빠한테 딱이고 접을 수 있어서 너무 간편해요
25.02.15.,남성,174cm,79kg,5,굿👍👍👍👍👍👍👍👍👍👍👍👍
25.02.11.,,,,5,투투누투투ㅠ웇처 구처나나우루
25.02.09.,,,,5,"사용편해요. 설치는 좀 어렵고, 안장이 딱딱해요"
25.02.07.,,,,5,가성비로 좋은 전기 자전거인거 같습니다
25.02.06.,,,,5,잘 쓰고 있어용 :)
25.02.03.,남성,172cm,72kg,4,"자전거는 매우 만족 합니다
다만 같이 주시는 자물쇠 라이트 등은 다 쓸모가 없을 듯 하네요
자물쇠는 너무 작아서 가위로도 잘릴 듯 하고
라이트는 건전지 넣는 뚜껑이 문제가 있는지 자꾸 분해되고 핸드폰거치대는 고정을 시켜도 핸드폰이 빠지네요"
25.02.01.,,,,4,좀 삐그덕 가리는 소리가 좀 나고 경사를 오를때 전기자전거 역할을 전혀 하지 못함. 출퇴근용으로 사용하지만 2키로도 안되는 거리 베터리 하루 사용하면 꼭 충전해야함.
25.01.25.,,,,5,잘사용합니다 감사합니다
25.01.23.,,,,3,오르막을 못감 돈더주고 좋은거 사세요~
25.01.19.,남성,179cm,103kg,5,딸레미 크리스마스선물좋아하네요
25.01.18.,여성,159cm,60kg,5,"시승 해봤는데. 엉덩이 안아파요
탈만하고 60도 경사진데서 타봤는데 허벅지 당겨지는 느낌 있을 정도로 강제 운동되고 좋네여
보통 60도 이상 경사진 곳 안다닐거라 괜찮을거 같아요.  
경사진 곳 다녀도 타고 다닐만 할거 같아요
가성비 정말 만족 입니다
블랙 사고 싶었는데 품절이라 아쉽지만 만족 해요 
잠금장치는 얇기도 하고 중국어로 쏼라 쏼라 써 있어서… 새로 샀어요 튼튼한게 나을듯 해서 
번창하세여 굿 👍"
25.01.15.,남성,181cm,85kg,5,"잘 사용할게요~
감사합니다"
25.01.13.,,,,5,"잠금방식이 너무 힘들어서 다이소가서
고리 새로 큰거 사서 바꿨어요 ㅋㅋㅋ
안장은 너무 오래타면 엉덩이가 불편해서 
큐션 깔았습니다 ㅎㅎ
동네서 열심히 탑니다 굿~"
25.01.12.,여성,162cm,63kg,4,"안장이 너무 불편해요 한 10분정도 탔는데
엉덩뼈가 아작날 것 같은 느낌이라
어디서 안장커버하나를 사야할 것 같습니다.
그리고 전기자전거라 그런지
여자가 타고다니기에는 다소 무섭긴하네요"
25.01.10.,여성,161cm,,5,조아요조아러어터어넝
25.01.07.,,,,5,좋아요 ! 잘 타겠습니당
25.01.03.,,,,5,전체적으로 가성비대비 괜찮은데  사이즈가 생각보다  조금작은듯하네요 짧은거리 출퇴근용으로 괜찮은듯합니다
25.01.01.,,,,3,"한 1시간타면 궁뎅이아파용
그리고 첨탔을때 체인이빠져있어서 수리점 가서 3만원내고 고쳤네요.."
24.12.30.,남성,172cm,72kg,5,가볍고 조립도 쉅고 생활용으로 타기 딱 좋아요
24.12.26.,,,,4,잘받았습니다 감사합니다.
24.12.23.,남성,160cm,63kg,5,"아빠가 동네에서 시장 다닐 때, 주차도 불편하고 시골 밭에서 마실용으로 쓸 전기자전거 필요하다고 주문 해달라고 해서 찾아보다 구매하게 되었습니다.

배송도 빠르게 왔고 파손없이 포장도 잘 되어 왔더라고요. 

같이 살고 있지 않아서 택배 왔다 그래서 조립하러 갔는데 핸들이랑 패달은 아빠가 조립할 수 있도록 편하게 되어 있었고, 구매 후 보내주시는 문자에 유튜브 동영상으로 설치가이드 보고 배터리 장착 등등 세세한거 도와줬어요. 

작동도 잘 되고 튼튼해보여 다행입니다. 아빠가 오늘 타봤는데 괜찮다고 하시더라구요, 바퀴엔 어느 정도 바람이 들어가서 오긴 하지만 조금 모자란 듯 하여 따로 바퀴에 바람을 넣고 사용했다고 하니 참고 하세요. 

자전거 품질도 좋은 거 같고 자동도 잘 되고 이상 없어서 만족 입니다. 아빠가 안전하게 잘 탔으면 좋겠네요. 

그리고 판매자분이 너무 친절하셔서 전기 자전거라는 건 생소 하고 처음 구매해 보는 거라 육십대 아빠가 사용 하시기에 걱정도 되고 해서 배송 전후로 톡톡으로 여러 가지 많이 물어봤었는데 너무 자세하고 친절하게 알려 주셔서 정말 감사했어요. 많이 도움 받았습니다. 

많이 파세요 잘 탈게요:)"
24.12.16.,남성,170cm,85kg,5,"전철역까지 출퇴근용으로 샀어요. 포장및 배송은 찌그러지거나 찟김없이 왔습니다. 금요일 13시 전에 결재했는데 지방이라 월요일 도착했습니다. 토요일 도착 기대했는데 조금 아쉬움.. 금일 퇴근 후 조립해서 간단한 시승까지 해봤는데 잘 나가네요. 행사할 때 가성비 있게 산것 같아 기분이 좋습니다.
안장은 오래 타면 아플듯 한데 저는 편도로 15분 정도만 탈거라. 좀더 타봐야 겠습니다.
충전은 처음에 4칸 떠있었는데 시승 후 3칸으로 되어 충전 중. 출퇴근시 밧데리를 가지고 다니려고 하는데 탈부착이 생각처럼 편하지는 않네요. 밧데리 고리부를 좀더 크고 탈착이 편한걸로 바꿔야 할 것 같습니다.
서비스로 제공된 핸드폰 거치대/라이트/잠금장치도 쓸만하네요.
본격적으로 사용해 봐야 진짜 성능은 알 수 있을 것 같습니다. 잠깐 사용했을 때는 괜찮은 듯."
24.12.15.,,,,5,"파스 모드로 달려봤는데 
평지도 언덕도 너무 편합니다ㅎㅎ
앞으로 잘 탈게요!!!"
24.12.13.,,,,4,안장이 딱딱해서 엉덩이가 아파요ㅠ 너무 무거워서 옮기기도 힘들고요 그거 외엔 다 좋습니다
24.12.13.,,,,5,잘 받았습니다 감사합니다^^
24.12.06.,남성,175cm,72kg,5,"크기도 딱 좋고
속도도 느리지도 빠르지도 않아서 딱이에요
마음에 드네요~"
24.12.05.,남성,164cm,52kg,5,남편이쓰고있는데 너무 잘쓰고있어요
24.12.04.,,,,5,"블랙으로 주문했어요! 아주 깔쌈한것이 예뻐요 ㅋㅋ
스트롤이 있다고는 하는데, 사실 정말 미미하네요
이게 되는건가..??싶은데 정말 살짝 되긴해요 ㅠㅋㅋ
오르막길에서 그래서 힘들게 페달 굴려야 합니다 ㅠㅠ
평소 카카오바이크를 좋아하는 저는... 카카오바이크와 비슷하여 만족하면서 잘 타고 있지만,
스트롤의 맛을 보기위해서는 다른 자전거를 추천합니다!!
여자분이 가볍게 타기에는 괜찮은것 같아요!
아 안장이 조금 불편하더라구요, 그래서 사진에는 다이소 안장 커버 씌운겁니다 ㅋㅋ
배터리를 끼우고 빼고가 좀 ㅠㅠ힘들어서 시간이 걸리는데...하다보면 조금씩 늘겠죠.? :->
그외에는 디자인이 귀엽고 잘 달려져서 만족합니다!!"
24.12.03.,,,,5,최고입니다. 생각보다 밧데리도 괜찮네요
24.11.28.,,,,5,빠르게 잘 받았습니다
24.11.28.,,,,5,빠르게 잘 받았습니다
24.11.14.,남성,140cm,50kg,5,튼튼하고 좋습니다.
24.11.13.,,,,5,처음 써보는데 만족합니다
24.11.13.,,,,5,"자전거 거의
다 조립되어 있어 좋아요."
24.10.29.,,,,5,"아들탈려고 샀는데 작동도 잘되고 잘타네요
가성비좋아요ㅎㅎ"
